10Coleus scutellarioides(CS)
11Phyllanthus niruri(PN)
12Corchorus olitorius(CO)
13Momordica charantia (MC)
14Euphorbia hirta(EH)
15Curcuma longa(CL)
16Carmona retusa(CR)
17Senna alata(SA)
18Mentha cordifolia Opiz(MCO)
19Capsicum frutescens(CF)
1Hibiscus rosa-sinensis(HRS)
20Jatropha curcas(JC)
21Ocimum basilicum(OB)
22Nerium oleander(NO)
23Pandanus amaryllifolius(PA)
24Aloe barbadensis Miller(ABM)
25Lagerstroemia speciosa(LS)
26Averrhoea bilimbi(AVB)
27Annona muricata(AM)
28Citrus aurantiifolia(CIA)
29Premna odorata(PO)
2Psidium guajava(PG)
30Gliricidia sepium(GS)
31Citrus sinensis(CIS)
32Mangifera indica(MI)
33Citrus microcarpa(CM)
34Impatiens balsamina(IB)
35Arachis hypogaea(AH)
36Tamarindus indica(TI)
37Leucaena leucocephala(LL)
38Ipomoea batatas(IPB)
39Manihot esculenta(ME)
3Antidesma bunius(AB)
40Citrus maxima(CMA)
4Vitex negundo(VN)
5Moringa oleifera(MO)
6Blumea balsamifera(BB)
7Origanum vulgare(OV)
8Pepromia pellucida(PP)
9Centella asiatica(CA)
